ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11762573,JC354558,07/14/2019 10:30:00 PM,051XX W ST PAUL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2533,025,37,25,07,1142014,1911155,2019,07/21/2019 04:11:41 PM,41.912272374,-87.753715572,"(41.912272374, -87.753715572)",4,22615,26,523,45,2,6,195
11758826,JC350247,07/14/2019 10:30:00 PM,012XX N PARKSIDE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,false,true,2531,025,29,25,04A,1138451,1907646,2019,07/21/2019 04:11:41 PM,41.90270859,-87.766890375,"(41.90270859, -87.766890375)",52,4299,26,565,7,5,6,154
11758926,JC350398,07/14/2019 10:30:00 PM,081XX S ELLIS AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0631,006,8,44,06,1184309,1851270,2019,07/21/2019 04:11:41 PM,41.747054629,-87.600214099,"(41.747054629, -87.600214099)",9,21546,40,247,35,61,20,235
11757869,JC349079,07/14/2019 10:29:00 PM,054XX W EDDY ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE,true,false,1633,016,36,15,18,1139497,1923070,2019,07/21/2019 04:11:41 PM,41.945014703,-87.762671137,"(41.945014703, -87.762671137)",25,22618,15,361,44,21,12,27
11757987,JC349077,07/14/2019 10:26:00 PM,008XX W 79TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",true,false,0621,006,17,71,26,1171905,1852466,2019,07/21/2019 04:11:41 PM,41.750617628,-87.645630459,"(41.750617628, -87.645630459)",17,21554,70,487,31,59,20,229
11757926,JC349057,07/14/2019 10:25:00 PM,036XX N SOUTHPORT AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1922,019,44,6,06,1166323,1924280,2019,07/21/2019 04:11:41 PM,41.947802576,-87.664034506,"(41.947802576, -87.664034506)",38,21186,57,728,25,53,5,19
11757870,JC349061,07/14/2019 10:23:00 PM,070XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0733,007,6,68,14,1171188,1858219,2019,07/21/2019 04:11:41 PM,41.76642029,-87.648089955,"(41.76642029, -87.648089955)",17,21559,66,410,32,11,17,215
11757974,JC349054,07/14/2019 10:15:00 PM,079XX S PAXTON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0414,004,7,46,04A,1192245,1852693,2019,07/21/2019 04:11:41 PM,41.750770238,-87.571088748,"(41.750770238, -87.571088748)",43,21202,42,507,37,25,19,222
11760623,JC352118,07/14/2019 10:15:00 PM,016XX N MASON AVE,0810,THEFT,OVER $500,STREET,false,false,2531,025,29,25,06,1136502,1910259,2019,07/21/2019 04:11:41 PM,41.909914073,-87.773986927,"(41.909914073, -87.773986927)",52,22615,26,597,7,2,6,154
11758065,JC349045,07/14/2019 10:11:00 PM,087XX S BEVERLY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,2221,022,21,71,14,1164801,1846569,2019,07/21/2019 04:11:41 PM,41.734588252,-87.671829033,"(41.734588252, -87.671829033)",18,21554,70,488,13,59,9,245
11757906,JC349047,07/14/2019 10:10:00 PM,113XX S CALUMET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0531,005,9,49,08B,1180601,1829806,2019,07/21/2019 04:11:41 PM,41.688240576,-87.614457786,"(41.688240576, -87.614457786)",30,21861,45,253,43,19,10,265
